iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_loss,param_l1_ratio,param_epsilon,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,20,0.21439905166625978,0.07458160792578661,0.0008008956909179687,0.0004004502585952266,l2,epsilon_insensitive,0.36,0.9,0.0003,"{'penalty': 'l2', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.36, 'epsilon': 0.9, 'alpha': 0.0003}",0.5,0.75,0.25,0.25,1.0,0.55,0.291547594742265,671,0.5,0.5625,0.25,0.5625,0.5,0.475,0.1159202311936963
0,20,0.1834010124206543,0.010326844273636086,0.0010000228881835937,1.1039578345098711e-06,elasticnet,modified_huber,0.31,0.88,0.0006,"{'penalty': 'elasticnet', 'loss': 'modified_huber', 'l1_ratio': 0.31, 'epsilon': 0.88, 'alpha': 0.0006}",0.25,0.75,0.75,0.5,0.25,0.5,0.22360679774997896,955,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.14059996604919434,0.0038767833333882354,0.0006002426147460937,0.0004900964138167432,elasticnet,squared_loss,0.93,0.9,0.0002,"{'penalty': 'elasticnet', 'loss': 'squared_loss', 'l1_ratio': 0.93, 'epsilon': 0.9, 'alpha': 0.0002}",0.75,0.25,0.25,0.5,0.25,0.4,0.2,1620,0.5625,0.5,0.5,0.5,0.4375,0.5,0.03952847075210474
0,20,0.2471996784210205,0.10618659483602721,0.0005997180938720703,0.0004896679666431419,l1,epsilon_insensitive,0.52,0.58,0.0002,"{'penalty': 'l1', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.52, 'epsilon': 0.58, 'alpha': 0.0002}",0.5,1.0,0.5,0.25,0.25,0.5,0.27386127875258304,955,0.4375,0.75,0.75,0.75,0.5,0.6375,0.13919410907075053
0,20,0.14419975280761718,0.01536826845577935,0.0005999565124511719,0.0004898636479315726,l1,squared_epsilon_insensitive,0.94,0.69,0.0001,"{'penalty': 'l1', 'loss': 'squared_epsilon_insensitive', 'l1_ratio': 0.94, 'epsilon': 0.69, 'alpha': 0.0001}",0.5,0.25,0.25,0.75,0.75,0.5,0.22360679774997896,955,0.375,0.4375,0.3125,0.4375,0.3125,0.375,0.05590169943749474
0,20,0.1605992794036865,0.015994682498815804,0.0004002571105957031,0.0004902129362053816,elasticnet,squared_loss,0.56,0.54,0.0005,"{'penalty': 'elasticnet', 'loss': 'squared_loss', 'l1_ratio': 0.56, 'epsilon': 0.54, 'alpha': 0.0005}",0.5,0.25,0.75,0.5,0.75,0.55,0.18708286933869706,671,0.5625,0.5,0.4375,0.5,0.3125,0.4625,0.08477912478906585
0,20,0.19739942550659179,0.025663918757534803,0.00040030479431152344,0.0004902712960007588,l2,perceptron,0.23,0.9,0.0001,"{'penalty': 'l2', 'loss': 'perceptron', 'l1_ratio': 0.23, 'epsilon': 0.9, 'alpha': 0.0001}",0.25,0.75,0.75,0.5,0.5,0.55,0.18708286933869706,671,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.18280115127563476,0.02746905501825042,0.0007993221282958984,0.00039966178595979453,l1,perceptron,0.59,0.53,0.0001,"{'penalty': 'l1', 'loss': 'perceptron', 'l1_ratio': 0.59, 'epsilon': 0.53, 'alpha': 0.0001}",0.0,0.75,0.75,0.5,0.0,0.4,0.33911649915626346,1620,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.20639920234680176,0.059379258634605976,0.00039997100830078123,0.0004898624643296147,l1,huber,0.23,0.68,0.0006,"{'penalty': 'l1', 'loss': 'huber', 'l1_ratio': 0.23, 'epsilon': 0.68, 'alpha': 0.0006}",0.5,0.25,0.75,0.5,0.5,0.5,0.15811388300841897,955,0.5625,0.375,0.75,0.5,0.6875,0.575,0.1334634781503914
0,20,0.1821998119354248,0.016289125013444997,0.0004002571105957031,0.0004902132145011108,l1,squared_hinge,0.96,0.9,0.0005,"{'penalty': 'l1', 'loss': 'squared_hinge', 'l1_ratio': 0.96, 'epsilon': 0.9, 'alpha': 0.0005}",0.25,0.5,0.75,0.5,0.0,0.4,0.25495097567963926,1620,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.17860031127929688,0.02354972951175557,0.000599813461303711,0.0004897457099892367,l1,log,0.36,0.56,0.0008,"{'penalty': 'l1', 'loss': 'log', 'l1_ratio': 0.36, 'epsilon': 0.56, 'alpha': 0.0008}",0.25,0.75,0.75,0.75,0.25,0.55,0.2449489742783178,671,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.16779985427856445,0.043609726360708874,0.000800466537475586,0.0004002337338717614,l1,epsilon_insensitive,0.91,0.78,0.0001,"{'penalty': 'l1', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.91, 'epsilon': 0.78, 'alpha': 0.0001}",0.5,0.75,0.25,0.5,0.25,0.45,0.18708286933869708,1318,0.4375,0.625,0.4375,0.5,0.5,0.5,0.06846531968814576
0,20,0.18299994468688965,0.02272458323440922,0.00039997100830078123,0.0004898624411217046,l1,perceptron,0.84,0.77,0.0003,"{'penalty': 'l1', 'loss': 'perceptron', 'l1_ratio': 0.84, 'epsilon': 0.77, 'alpha': 0.0003}",0.5,0.75,0.75,0.5,0.25,0.55,0.18708286933869706,671,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.14339914321899414,0.005084185348137296,0.0007990837097167969,0.00039954346252310996,l2,squared_loss,0.79,0.85,0.0002,"{'penalty': 'l2', 'loss': 'squared_loss', 'l1_ratio': 0.79, 'epsilon': 0.85, 'alpha': 0.0002}",0.75,0.75,0.75,0.5,0.5,0.65,0.1224744871391589,327,0.625,0.5,0.75,0.375,0.6875,0.5875,0.1346291201783626
0,20,0.19279909133911133,0.019629864662131326,0.0006002902984619141,0.0004901351231599204,elasticnet,hinge,0.7,0.13,0.0003,"{'penalty': 'elasticnet', 'loss': 'hinge', 'l1_ratio': 0.7, 'epsilon': 0.13, 'alpha': 0.0003}",0.0,0.75,0.75,0.5,0.0,0.4,0.33911649915626346,1620,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.15699877738952636,0.00973664625808073,0.00039997100830078123,0.0004898624643296147,elasticnet,squared_epsilon_insensitive,0.69,0.11,0.0006,"{'penalty': 'elasticnet', 'loss': 'squared_epsilon_insensitive', 'l1_ratio': 0.69, 'epsilon': 0.11, 'alpha': 0.0006}",0.5,0.75,0.75,0.5,1.0,0.7,0.18708286933869706,114,0.4375,0.3125,0.875,0.25,0.375,0.45,0.22150056433336687
0,20,0.19419970512390136,0.017150821039932217,0.0007999420166015625,0.0003999710651483163,elasticnet,hinge,0.76,0.11,0.0001,"{'penalty': 'elasticnet', 'loss': 'hinge', 'l1_ratio': 0.76, 'epsilon': 0.11, 'alpha': 0.0001}",0.25,0.75,0.75,0.5,0.25,0.5,0.22360679774997896,955,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.18700022697448732,0.010296222418351248,0.00039987564086914064,0.0004897456403489048,elasticnet,hinge,0.14,0.85,0.0001,"{'penalty': 'elasticnet', 'loss': 'hinge', 'l1_ratio': 0.14, 'epsilon': 0.85, 'alpha': 0.0001}",0.0,0.75,0.75,0.5,0.0,0.4,0.33911649915626346,1620,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.18815083503723146,0.007042231244357878,0.00020017623901367188,0.00040035247802734376,l1,squared_hinge,0.91,0.77,0.0002,"{'penalty': 'l1', 'loss': 'squared_hinge', 'l1_ratio': 0.91, 'epsilon': 0.77, 'alpha': 0.0002}",0.5,0.75,0.75,0.75,0.25,0.6,0.2,456,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.1822558879852295,0.017779053575872648,0.0009999275207519531,8.920806376395086e-07,l1,perceptron,0.2,0.9,0.0005,"{'penalty': 'l1', 'loss': 'perceptron', 'l1_ratio': 0.2, 'epsilon': 0.9, 'alpha': 0.0005}",0.25,0.75,0.75,0.75,0.25,0.55,0.2449489742783178,671,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.19056968688964843,0.017488622478512534,0.0,0.0,elasticnet,modified_huber,0.23,0.62,0.0003,"{'penalty': 'elasticnet', 'loss': 'modified_huber', 'l1_ratio': 0.23, 'epsilon': 0.62, 'alpha': 0.0003}",0.25,0.25,0.75,0.5,0.25,0.4,0.2,1620,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.18187108039855956,0.019464869460868152,0.00039997100830078123,0.0004898625339533384,l2,hinge,0.96,0.52,0.0003,"{'penalty': 'l2', 'loss': 'hinge', 'l1_ratio': 0.96, 'epsilon': 0.52, 'alpha': 0.0003}",0.25,0.75,1.0,0.5,0.25,0.55,0.291547594742265,671,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.1825995922088623,0.014179177109835153,0.0005999088287353515,0.0004898236313161176,elasticnet,log,0.99,0.54,0.0003,"{'penalty': 'elasticnet', 'loss': 'log', 'l1_ratio': 0.99, 'epsilon': 0.54, 'alpha': 0.0003}",0.25,0.75,0.75,0.75,0.0,0.5,0.31622776601683794,955,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.23019843101501464,0.13806342544830352,0.0006008625030517578,0.0004906027663963248,elasticnet,epsilon_insensitive,0.56,0.13,0.0001,"{'penalty': 'elasticnet', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.56, 'epsilon': 0.13, 'alpha': 0.0001}",0.75,0.5,0.75,0.5,0.5,0.6,0.1224744871391589,456,0.5,0.4375,0.75,0.5625,0.625,0.575,0.10752906583803283
0,20,0.1825995922088623,0.02235741498763101,0.00019998550415039061,0.0003999710083007812,l1,perceptron,0.6,0.85,0.0002,"{'penalty': 'l1', 'loss': 'perceptron', 'l1_ratio': 0.6, 'epsilon': 0.85, 'alpha': 0.0002}",0.5,0.75,0.75,0.5,0.25,0.55,0.18708286933869706,671,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.2426002025604248,0.07209909215728479,0.0007996082305908204,0.00039980438187939656,elasticnet,huber,0.83,0.69,0.0001,"{'penalty': 'elasticnet', 'loss': 'huber', 'l1_ratio': 0.83, 'epsilon': 0.69, 'alpha': 0.0001}",0.5,0.75,0.75,0.5,1.0,0.7,0.18708286933869706,114,0.4375,0.5625,0.4375,0.5625,0.5,0.5,0.05590169943749474
0,20,0.13960084915161133,0.013456236944470852,0.0003998279571533203,0.0004896872457665585,l2,squared_loss,0.68,0.78,0.0005,"{'penalty': 'l2', 'loss': 'squared_loss', 'l1_ratio': 0.68, 'epsilon': 0.78, 'alpha': 0.0005}",0.25,0.75,0.75,0.5,0.75,0.6,0.2,456,0.6875,0.5625,0.625,0.5,0.375,0.55,0.10752906583803283
0,20,0.19480018615722655,0.02340483426962713,0.00040030479431152344,0.000490271388754977,elasticnet,modified_huber,0.84,0.88,0.0002,"{'penalty': 'elasticnet', 'loss': 'modified_huber', 'l1_ratio': 0.84, 'epsilon': 0.88, 'alpha': 0.0002}",0.25,0.75,0.75,0.5,0.25,0.5,0.22360679774997896,955,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.20939974784851073,0.06687742425529032,0.0006001472473144531,0.0004900186936304424,elasticnet,epsilon_insensitive,0.83,0.45,0.0004,"{'penalty': 'elasticnet', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.83, 'epsilon': 0.45, 'alpha': 0.0004}",0.5,0.75,0.25,0.5,0.5,0.5,0.15811388300841897,955,0.5,0.5,0.375,0.5625,0.375,0.4625,0.075
0,20,0.2502000331878662,0.06914733755936796,0.0004002571105957031,0.0004902129362053816,l2,huber,0.83,0.03,0.0008,"{'penalty': 'l2', 'loss': 'huber', 'l1_ratio': 0.83, 'epsilon': 0.03, 'alpha': 0.0008}",0.5,0.25,0.25,0.5,0.0,0.3,0.18708286933869708,1845,0.5,0.4375,0.3125,0.5625,0.5,0.4625,0.08477912478906585
0,20,0.14219818115234376,0.00800951103662116,0.0008000850677490235,0.0004000427434622774,elasticnet,squared_epsilon_insensitive,0.7,0.9,0.0001,"{'penalty': 'elasticnet', 'loss': 'squared_epsilon_insensitive', 'l1_ratio': 0.7, 'epsilon': 0.9, 'alpha': 0.0001}",0.75,1.0,0.25,0.5,1.0,0.7,0.291547594742265,114,0.375,0.5,0.5,0.25,0.5,0.425,0.1
0,20,0.1456002712249756,0.008569737363947444,0.0003994941711425781,0.000489279575801354,l2,squared_epsilon_insensitive,0.76,0.9,0.0001,"{'penalty': 'l2', 'loss': 'squared_epsilon_insensitive', 'l1_ratio': 0.76, 'epsilon': 0.9, 'alpha': 0.0001}",0.5,0.0,0.75,0.5,1.0,0.55,0.33166247903554,671,0.375,0.3125,0.625,0.6875,0.5625,0.5125,0.1446979612848778
