iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_loss,param_l1_ratio,param_epsilon,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,20,0.04183511734008789,0.00605467064191133,0.00020060539245605468,0.00040121078491210936,l2,squared_hinge,0.52,0.85,0.0004,"{'penalty': 'l2', 'loss': 'squared_hinge', 'l1_ratio': 0.52, 'epsilon': 0.85, 'alpha': 0.0004}",0.75,0.0,0.5,0.75,0.25,0.45,0.29154759474226505,1571,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.06387405395507813,0.022655022715332478,0.0003996849060058594,0.0004895120388033056,l1,epsilon_insensitive,0.11,0.68,0.0005,"{'penalty': 'l1', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.11, 'epsilon': 0.68, 'alpha': 0.0005}",0.75,0.75,0.25,1.0,0.75,0.7,0.2449489742783178,127,0.25,0.5,0.5,0.5,0.5,0.45,0.10000000000000002
0,20,0.03645367622375488,0.007524710602431821,0.00039997100830078123,0.000489862649992856,elasticnet,perceptron,0.11,0.85,0.0003,"{'penalty': 'elasticnet', 'loss': 'perceptron', 'l1_ratio': 0.11, 'epsilon': 0.85, 'alpha': 0.0003}",0.75,0.0,0.75,0.75,0.75,0.6,0.30000000000000004,772,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.06894235610961914,0.009767570488547449,0.001000833511352539,1.4096971034140094e-06,l2,epsilon_insensitive,0.96,0.52,0.0003,"{'penalty': 'l2', 'loss': 'epsilon_insensitive', 'l1_ratio': 0.96, 'epsilon': 0.52, 'alpha': 0.0003}",0.25,0.0,0.25,0.25,0.25,0.2,0.10000000000000002,1864,0.625,0.625,0.375,0.3125,0.5,0.4875,0.12747548783981963
0,20,0.03647637367248535,0.01134765746106392,0.0003995418548583984,0.0004893368899179903,l1,huber,0.29,0.54,0.0006,"{'penalty': 'l1', 'loss': 'huber', 'l1_ratio': 0.29, 'epsilon': 0.54, 'alpha': 0.0006}",0.25,0.5,0.25,0.75,0.75,0.5,0.22360679774997896,1342,0.5625,0.25,0.5625,0.75,0.625,0.55,0.16488632447841148
0,20,0.029854583740234374,0.002652622985164699,0.0010015010833740235,2.2089452403832374e-06,l1,squared_loss,0.84,0.68,0.0001,"{'penalty': 'l1', 'loss': 'squared_loss', 'l1_ratio': 0.84, 'epsilon': 0.68, 'alpha': 0.0001}",0.25,0.0,0.25,0.75,0.75,0.4,0.30000000000000004,1687,0.75,0.5,0.5,0.5,0.6875,0.5875,0.10897247358851683
0,20,0.03987231254577637,0.0064834203647932,0.00040111541748046877,0.0004912651843371416,l1,log,0.7,0.45,0.0002,"{'penalty': 'l1', 'loss': 'log', 'l1_ratio': 0.7, 'epsilon': 0.45, 'alpha': 0.0002}",0.25,0.5,0.75,0.75,0.5,0.55,0.18708286933869706,1116,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.030262231826782227,0.010946144678246932,0.0006000041961669922,0.0004899015216843688,l2,huber,0.86,0.52,0.0002,"{'penalty': 'l2', 'loss': 'huber', 'l1_ratio': 0.86, 'epsilon': 0.52, 'alpha': 0.0002}",0.75,0.0,0.25,0.75,0.75,0.5,0.31622776601683794,1342,0.375,0.625,0.375,0.6875,0.5,0.5125,0.12747548783981963
0,20,0.05171117782592773,0.01132188957780476,0.00039958953857421875,0.0004893956097114238,elasticnet,huber,0.6,0.62,0.0003,"{'penalty': 'elasticnet', 'loss': 'huber', 'l1_ratio': 0.6, 'epsilon': 0.62, 'alpha': 0.0003}",0.25,0.75,0.5,0.0,0.75,0.45,0.29154759474226505,1571,0.625,0.4375,0.5,0.4375,0.5625,0.5125,0.07288689868556626
0,20,0.03327169418334961,0.007508667605723061,0.00019969940185546876,0.0003993988037109375,elasticnet,huber,0.36,0.85,0.0001,"{'penalty': 'elasticnet', 'loss': 'huber', 'l1_ratio': 0.36, 'epsilon': 0.85, 'alpha': 0.0001}",0.25,1.0,0.75,0.25,0.75,0.6,0.30000000000000004,772,0.625,0.5,0.5625,0.3125,0.5625,0.5125,0.10752906583803283
0,20,0.0324821949005127,0.005892680221791573,0.000583028793334961,0.00047699328727530363,l1,squared_hinge,0.11,0.52,0.0001,"{'penalty': 'l1', 'loss': 'squared_hinge', 'l1_ratio': 0.11, 'epsilon': 0.52, 'alpha': 0.0001}",0.75,0.5,0.5,0.75,0.75,0.65,0.1224744871391589,423,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.032073974609375,0.005176736354862821,0.0007996559143066406,0.00039982814197388157,l2,log,0.6,0.01,0.0001,"{'penalty': 'l2', 'loss': 'log', 'l1_ratio': 0.6, 'epsilon': 0.01, 'alpha': 0.0001}",0.5,0.5,0.75,0.75,0.75,0.65,0.1224744871391589,423,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.03167357444763184,0.006899904266225717,0.000800466537475586,0.00040023603467916654,l2,log,0.34,0.68,0.0001,"{'penalty': 'l2', 'loss': 'log', 'l1_ratio': 0.34, 'epsilon': 0.68, 'alpha': 0.0001}",0.75,0.0,0.75,0.75,0.5,0.55,0.291547594742265,1116,1.0,1.0,1.0,1.0,1.0,1.0,0.0
