,Column Labels,,,,,,,,,,,,,,,,,,,21494.66667,40.00290958,4.937382115,,,,,RAM,RAM,RAM,Path Cost,Path Cost,Path Cost,Max Depth,Max Depth,Max Depth,Search Depth,Search Depth,Search Depth,Expanded Nodes,Expanded Nodes,Expanded Nodes
,Run Time,,,Path Cost,,,Max Depth,,,Search Depth,,,Expanded Nodes,,,RAM,,,,8103.666667,47.13163519,4.863846145,Starting Grid,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS
Row Labels,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,,14853.33333,32.03324485,3.489631066,45812763,109.0007615,7.530999899,3.476967335,0.536712646,8.075897217,4.333206177,28,28,64428,28,29,64438,28,28,64428,8873,179427,85402
86143752,0.9380,5.1940,2.1123,24,24,"45,204",24,25,"45,204",24,24,"45,204",786,"124,879","50,232",0.04,4.19,2.26,,20213.33333,5.396060308,0.601636043,857061423,11.74348068,7.125000238,5.703999043,0.139266968,8.071868896,4.338745117,27,27,46465,27,28,66056,27,27,46465,2908,178099,139243
86543172,1.4378,6.5627,1.9100,26,26,"43,210",26,27,"43,210",26,26,"43,210","1,029","161,320","47,548",0.13,4.19,2.25,,21858.66667,4.169450601,0.567651184,725684013,3.811999798,5.358746529,4.294999599,0.131996155,4.190200806,4.337738037,24,24,65688,24,25,65982,24,24,65688,1426,135422,101563
102453786,1.1870,2.7940,0.6470,21,21,"14,829",21,22,"14,829",21,21,"14,829",751,"69,565","15,284",0.04,4.17,2.09,,20372.66667,4.996027708,0.563845739,873526041,6.118510008,7.081670761,2.988000154,0.134994507,8.075897217,4.319610596,28,28,60584,28,29,60584,28,28,60584,1922,177530,74944
102478536,0.0630,0.4680,1.6739,17,17,"38,443",17,18,"38,443",17,17,"38,443",145,"13,131","41,407",0.01,0.56,2.22,,21406.66667,4.343644857,0.557020577,410573862,2.368804216,5.647547722,4.491999865,0.131210327,4.190200806,4.338745117,24,24,65528,24,25,66488,24,24,65528,1261,139292,104255
103624785,0.0090,0.1290,5.5015,13,13,"48,471",13,14,"66,123",13,13,"48,471",37,"2,562","136,600",0.00,0.14,4.34,,21993,3.966143052,0.552222287,73584621,5.050251961,6.789610147,3.148221016,0.133872986,8.075897217,4.321624756,26,26,61066,26,27,61066,26,26,61066,1867,169255,75977
103857426,1.3780,4.1475,0.6840,23,23,"16,791",23,24,"16,791",23,23,"16,791",806,"105,054","17,328",0.04,4.20,2.10,,19100,5.548015277,0.541460201,476801523,1.97165513,6.720279932,4.33899951,0.130508423,8.088485718,4.338241577,26,26,64168,26,27,66122,26,26,64168,1173,167012,109050
104635872,0.3150,,1.0285,19,,"24,615",19,,"24,615",19,,"24,615",365,,"25,655",0.03,,2.15,,22026.66667,3.836017291,0.538643792,752014683,2.793750525,4.741165638,4.363512993,0.132881165,4.198760986,4.338745117,23,23,65933,23,24,65933,23,23,65933,1593,116110,96607
104786325,0.1060,1.3160,1.5640,19,19,"36,383",19,20,"36,383",19,19,"36,383",193,"30,859","38,869",0.01,2.11,2.21,,17006.66667,6.730333249,0.538297111,360125874,8.182000637,5.663046837,2.798998356,0.134994507,4.190200806,4.306518555,24,24,57252,24,25,57252,24,24,57252,1996,136417,67990
106425873,0.9510,4.2530,2.9240,23,23,"57,607",23,24,"57,607",23,23,"57,607",876,"102,581","69,040",0.13,4.20,4.31,,22009,3.837333361,0.537554565,384106572,2.349782944,5.1425488,4.015720129,0.131996155,4.197753906,4.338241577,24,24,66032,24,25,66071,24,24,66032,1458,130049,96315
107362485,0.0040,0.1920,3.8190,13,13,"65,309",13,14,"65,323",13,13,"65,309",24,"3,058","90,251",0.00,0.14,4.34,,21770.33333,3.973826011,0.537401645,810346275,7.631999254,7.439999342,5.11900115,0.134994507,8.075897217,4.338745117,26,26,50968,26,27,66488,26,26,50968,2095,168892,133756
107458236,0.2120,2.4010,3.8190,21,21,"65,969",21,22,"66,087",21,21,"65,969",349,"58,848","98,598",0.03,2.17,4.34,,22026,3.802776655,0.534519146,401356278,2.64700079,4.701999903,4.162999392,0.131210327,4.198760986,4.338241577,23,23,65981,23,24,65997,23,23,65981,1202,113451,95725
107653842,0.0590,1.6460,5.3390,19,19,"45,877",19,20,"66,123",19,19,"45,877",183,"36,207","139,634",0.01,2.12,4.34,,21361.66667,4.180927595,0.533875268,628730145,3.785999298,4.61196661,3.523512125,0.131996155,4.198760986,4.335723877,23,23,65265,23,24,65291,23,23,65265,1404,105197,89927
108364752,0.1640,1.7720,4.0180,19,19,"65,957",19,20,"66,072",19,19,"65,957",374,"38,989","96,774",0.03,2.12,4.34,,18882.33333,5.585480452,0.530646746,167403285,1.722593069,5.825737,3.859999895,0.130508423,4.197753906,4.338241577,24,24,66030,24,25,66122,24,24,66030,1055,148488,100485
120385647,0.0020,0.0070,0.8730,8,8,"20,540",8,9,"20,540",8,8,"20,540",14,194,"21,290",0.00,0.01,2.13,,17070.66667,6.600000064,0.526840537,361078245,2.718614817,4.878167629,4.946000338,0.131996155,4.198760986,4.338745117,23,23,64039,23,24,66056,23,23,64039,1356,111562,108135
123068475,0.7080,3.5087,5.0295,21,21,"60,695",21,22,"66,056",21,21,"60,695",810,"77,140","117,195",0.04,4.17,4.34,,20747.33333,4.448008219,0.523146599,738650124,7.601998329,6.314931154,2.839511871,0.134994507,4.198760986,4.304504395,25,25,56597,25,26,56597,25,25,56597,2035,144331,67127
123547680,0.5220,1.8440,0.1630,20,20,"3,590",20,21,"3,590",20,20,"3,590",509,"38,847","3,684",0.03,2.14,0.52,,19600.66667,5.061906576,0.517275148,857241630,10.67700005,6.341000557,2.781999588,0.136253357,4.190200806,4.281845093,26,26,51160,26,27,51160,26,26,51160,2355,160403,58153
123548076,1.1160,4.0040,2.1610,22,22,"44,800",22,23,"44,800",22,22,"44,800",782,"93,046","49,714",0.04,4.19,2.25,,21752,3.784847736,0.51292283,216784053,3.563063622,6.461961508,3.318999529,0.133872986,4.190200806,4.325653076,26,26,62190,26,27,62190,26,26,62190,1980,159809,78909
123745860,0.0140,0.3170,4.3020,16,16,"63,908",16,17,"66,126",16,16,"63,908",57,"7,381","109,929",0.01,0.54,4.34,,9019.666667,11.09022347,0.50768407,582341076,5.290973425,5.377746344,4.51699996,0.133872986,4.190200806,4.337738037,24,24,58754,24,25,65982,24,24,58754,1948,130358,121371
123875460,0.7410,3.8934,4.9220,22,22,"52,496",22,23,"66,126",22,22,"52,496",737,"74,884","131,227",0.04,4.19,4.34,,11086.66667,9.889800707,0.506762146,213476580,1.267030478,5.611999273,4.475513458,0.130508423,4.190200806,4.338241577,24,24,65208,24,25,66126,24,24,65208,1179,132966,104957
124076358,0.5770,2.8462,5.4390,21,21,"40,095",21,22,"66,056",21,21,"40,095",773,"68,092","146,641",0.04,4.17,8.24,,22144.66667,3.492333412,0.504839406,506431287,24.99300027,7.109670162,1.167999983,0.518074036,8.073379517,2.163009644,27,27,27005,27,28,27005,27,27,27005,3763,171845,28211
124537806,3.1400,4.3471,0.6360,23,23,"15,585",23,24,"15,585",23,23,"15,585","1,287","100,348","16,061",0.13,4.20,2.10,,19857,4.796296199,0.502840548,863254017,21.11999869,7.057948351,1.491455078,0.141059875,8.075897217,2.195739746,28,28,33204,28,29,33204,28,28,33204,3453,177098,35270
124605378,0.1460,0.6490,4.0320,16,16,"65,752",16,17,"65,765",16,16,"65,752",240,"13,267","93,356",0.03,0.55,4.34,,19581.66667,4.939400355,0.500902911,230564187,1.489999533,5.078000069,3.909000635,0.130508423,4.190200806,4.338745117,24,24,66386,24,25,66476,24,24,66386,1144,118719,97542
124658370,0.3480,0.9650,5.6310,18,18,"44,032",18,19,"66,126",18,18,"44,032",397,"22,478","141,944",0.03,2.08,4.34,,21772.66667,3.631390333,0.495562069,206147583,2.692088127,6.555286646,5.141513824,0.132881165,4.198760986,4.338241577,25,25,59521,25,26,66123,25,25,59521,1603,160029,119648
124786503,3.1690,4.6047,,23,23,,23,24,,23,23,,"1,266","113,318",,0.13,4.20,,,21226.66667,3.88883694,0.488489115,827530641,4.002172709,6.190027237,4.62600112,0.133872986,4.198760986,4.338241577,25,25,58695,25,26,66125,25,25,58695,1827,149982,121181
125340678,0.0000,0.0000,7.3650,3,3,3,3,4,"66,125",3,3,3,3,10,"181,437",0.00,0.00,8.24,,21971.66667,3.430715005,0.48503395,36174582,1.5697999,5.519165754,3.805205345,0.129890442,4.190200806,4.335723877,24,24,65270,24,25,65278,24,24,65270,960,125495,88736
125408367,0.0010,0.0110,4.2760,8,8,"65,110",8,9,"66,122",8,8,"65,110",8,298,"105,310",0.00,0.03,4.34,,21748.66667,3.50937144,0.478895648,284731056,2.954000235,5.201999664,3.510510921,0.131996155,4.190200806,4.330688477,24,24,63632,24,25,63656,24,24,63632,1322,125298,82710
125487036,0.0040,0.0890,2.4650,12,12,"49,276",12,13,"49,276",12,12,"49,276",22,"1,843","55,768",0.00,0.13,4.27,,21246.66667,3.725999753,0.46993059,358014276,1.54399991,4.492632389,4.255512714,0.129341125,4.198760986,4.338241577,23,23,65869,23,24,65869,23,23,65869,878,113632,95981
128073546,0.5530,3.0627,3.3240,21,21,"61,537",21,22,"61,537",21,21,"61,537",491,"75,123","76,541",0.03,4.17,4.32,,20348.66667,4.215316137,0.466381,643517082,1.570000172,4.78460145,4.173512697,0.129890442,4.190200806,4.337738037,24,24,65198,24,25,65982,24,24,65198,911,120317,104568
128305746,0.0980,0.4950,1.1070,16,16,"26,144",16,17,"26,144",16,16,"26,144",185,"13,876","27,293",0.01,0.55,2.16,,21914,3.304047982,0.46541403,580261734,2.194999933,5.648999453,3.333999872,0.130508423,4.190200806,4.330184937,24,24,63692,24,25,63692,24,24,63692,1074,139218,81847
128450763,30.0985,4.9259,1.9780,25,23,"41,715",25,24,"41,715",25,23,"41,715","3,831","121,491","45,399",0.52,4.20,2.24,,13782,7.976697048,0.462900575,832154076,4.012999296,5.47894907,3.154000044,0.132881165,4.190200806,4.321121216,24,24,60998,24,25,60998,24,24,60998,1516,132423,75810
128674035,3.4690,2.1133,0.6160,22,20,"13,856",22,21,"13,856",22,20,"13,856","1,344","50,600","14,256",0.13,2.14,2.09,,21941,3.20901672,0.455668442,74652183,1.287757635,4.716385841,3.908000469,0.131210327,4.190200806,4.337738037,24,24,65694,24,25,65982,24,24,65694,1139,116746,101580
130675842,2.4376,3.3610,3.6250,22,22,"65,694",22,23,"65,694",22,22,"65,694","1,122","80,317","89,179",0.13,4.19,4.34,,8295.666667,11.0817128,0.455386539,857102463,15.18010497,6.786987066,1.962999105,0.139266968,4.197753906,2.236526489,26,26,41294,26,27,41294,26,26,41294,3054,162657,44872
130758246,2.3590,5.3515,0.9170,24,24,"21,224",24,25,"21,224",24,24,"21,224","1,136","133,400","22,018",0.13,4.19,2.13,,18933.33333,4.912809292,0.451744166,514037286,0.797999382,5.084539413,3.744511366,0.035102844,4.198760986,4.338241577,23,23,65777,23,24,65797,23,23,65777,654,111695,95284
134267508,15.3381,6.2040,1.7488,25,25,"40,443",25,26,"40,443",25,25,"40,443","3,114","144,959","43,800",0.14,4.20,2.23,,21912.66667,3.141202609,0.445344267,601423587,25.70699906,6.410139561,1.127999783,0.141059875,4.198760986,2.150924683,25,25,24837,25,26,24837,25,25,24837,3531,160610,25896
134658072,0.0260,0.3950,4.2749,16,16,"65,576",16,17,"65,982",16,16,"65,576",131,"10,832","101,908",0.01,0.54,4.34,,21593,3.314196984,0.443934649,710543826,4.685509205,7.153404951,2.899513721,0.132881165,4.190200806,4.304504395,26,26,56748,26,27,56748,26,26,56748,1616,165028,67044
134865702,0.6560,3.2340,2.0957,21,21,"38,597",21,22,"38,597",21,21,"38,597",585,"74,181","41,598",0.03,4.17,2.22,,20360.33333,4.024268468,0.443772111,130675842,2.437636137,3.360971689,3.625,0.130508423,4.189697266,4.336227417,22,22,65694,22,23,65694,22,22,65694,1122,80317,89179
135428067,0.0110,0.1090,4.5820,14,14,"58,100",14,15,"65,982",14,14,"58,100",70,"3,009","122,542",0.01,0.14,4.34,,21363,3.419000387,0.440508111,564287301,0.963001728,4.902587652,4.077001572,0.035102844,4.198760986,4.338241577,23,23,64733,23,24,66123,23,23,64733,758,121739,106998
136825074,2.1200,5.5410,5.5360,24,24,"49,166",24,25,"65,982",24,24,"49,166","1,214","139,958","136,023",0.13,4.19,4.34,,17259.33333,5.779448668,0.439544007,287043516,0.895806074,6.640999556,4.535999775,0.035102844,4.198760986,4.338745117,25,25,61031,25,26,66056,25,25,61031,708,158770,116479
140628357,0.9110,2.0090,0.3587,20,20,"8,568",20,21,"8,568",20,20,"8,568",659,"47,531","8,790",0.03,2.14,0.55,,21894.66667,3.089521249,0.43773053,216348507,1.720000029,4.267999887,4.269001245,0.129890442,4.198760986,4.338241577,23,23,64043,23,24,66123,23,23,64043,977,100076,109625
140827563,2.9090,5.2665,2.0660,24,24,"46,512",24,25,"46,512",24,24,"46,512","1,231","136,001","51,506",0.13,4.19,2.26,,18515,5.018507163,0.435094812,476231580,5.164999008,6.958835125,5.214511871,0.133872986,8.075897217,4.338241577,26,26,51726,26,27,66126,26,26,51726,1769,168181,132256
142058367,0.0010,0.0050,4.4730,7,7,"63,987",7,8,"66,056",7,7,"63,987",7,135,"108,309",0.00,0.01,4.34,,19386.66667,4.502482414,0.433504033,14286357,1.387000084,3.963562965,3.918000698,0.035591125,4.189697266,4.336730957,22,22,65640,22,23,65724,22,22,65640,828,92319,92085
142758306,0.0020,0.0160,3.2340,9,9,"59,003",9,10,"59,003",9,9,"59,003",11,486,"71,791",0.00,0.03,4.31,,18547.33333,4.961504777,0.430391582,685034217,6.65699935,5.809523344,2.588998795,0.133872986,4.198760986,4.300476074,25,25,55495,25,26,55495,25,25,55495,1883,142337,65083
142873650,0.0130,0.1640,0.4180,14,14,"3,042",14,15,"3,042",14,14,"3,042",52,"4,250","3,125",0.01,0.52,0.52,,21900.33333,2.954000155,0.421508036,178405236,5.063234091,5.580213785,2.863999367,0.132881165,4.197753906,4.310043335,24,24,58112,24,25,58112,24,24,58112,1703,133691,69891
143758062,0.1630,2.4670,5.0855,20,20,"55,168",20,21,"65,982",20,20,"55,168",373,"51,829","127,635",0.03,2.14,4.34,,21932.33333,2.934507052,0.421382272,47365182,4.035000801,5.74251318,5.107000351,0.131996155,4.190200806,4.337738037,24,24,55594,24,25,65982,24,24,55594,1447,131295,126989
143785026,3.5197,5.1880,,24,24,,24,25,,24,24,,"1,482","129,211",,0.13,4.19,,,13497.66667,7.763641278,0.41663757,684231507,0.348999977,4.457000494,4.055999994,0.034667969,4.198760986,4.337234497,23,23,65655,23,24,65659,23,23,65655,612,111120,92756
145260738,0.2370,1.6950,1.4020,34,34,"32,990",34,36,"32,990",34,34,"32,990",392,"38,386","34,020",0.02,4.14,4.21,,22001.33333,2.847555637,0.41560107,864023751,0.396998167,4.400523901,4.005999088,0.033935547,4.198760986,4.338241577,23,23,65751,23,24,65797,23,23,65751,541,107920,95484
146058723,0.1420,2.6435,2.5580,21,21,"51,865",21,22,"51,865",21,21,"51,865",242,"58,591","59,304",0.03,2.17,4.28,,21517.66667,3.125944535,0.41550971,134267508,15.33813572,6.203999043,1.748789072,0.139266968,4.198760986,2.232498169,25,25,40443,25,26,40443,25,25,40443,3114,144959,43800
147306285,0.5700,4.1926,2.5819,22,22,"49,486",22,23,"49,486",22,22,"49,486",540,"105,170","55,605",0.03,4.20,4.28,,22013.66667,2.828274012,0.414109,467308512,0.551000118,4.192667246,3.798999548,0.03427887,4.197753906,4.338241577,22,22,65960,22,23,66071,22,22,65960,537,94222,97155
147820635,3.9950,3.2120,2.8110,23,21,"55,717",23,22,"55,718",23,21,"55,717","1,448","78,203","65,643",0.13,4.17,4.30,,21397.66667,3.164146662,0.411700694,653048271,0.16299963,5.072833776,4.142000198,0.033355713,4.198760986,4.338745117,23,23,64507,23,24,66056,23,23,64507,383,111581,106577
147862503,1.3295,5.0293,3.4205,23,23,"63,201",23,24,"63,201",23,23,"63,201",819,"118,055","81,453",0.04,4.20,4.33,,21857.33333,2.860401551,0.406982729,372680145,1.255999088,3.053822279,4.175000668,0.035591125,4.171066284,4.338241577,21,21,65999,21,22,66125,21,21,65999,803,73177,100411
150683427,0.1520,1.8986,4.1270,20,20,"64,478",20,21,"66,488",20,20,"64,478",293,"45,042","108,059",0.03,2.14,4.34,,21339.33333,3.134016196,0.403875204,176820435,0.860835314,4.165604353,4.466000319,0.035102844,4.198760986,4.338241577,23,23,64147,23,24,66125,23,23,64147,755,99928,109216
153406827,27.7240,7.0380,3.1217,26,26,"54,460",26,27,"54,460",26,26,"54,460","3,838","170,444","63,320",0.52,8.09,4.30,,21082.33333,3.259771188,0.401107296,56714382,0.284997702,4.12120676,4.175000191,0.03427887,4.189697266,4.337738037,22,22,65528,22,23,65982,22,22,65528,508,93788,102618
154260378,0.0250,0.4961,5.3540,15,15,"50,339",15,16,"66,125",15,15,"50,339",88,"6,482","134,136",0.01,0.53,4.34,,21634.33333,2.92113781,0.398646255,283176054,0.617999792,5.412049294,3.371999502,0.03427887,4.190200806,4.331695557,24,24,63970,24,25,63978,24,24,63970,547,136850,83597
156428037,0.0270,1.4520,2.5290,18,18,"50,224",18,19,"50,224",18,18,"50,224",87,"25,893","57,170",0.01,2.09,4.28,,18444,4.75075984,0.397225428,147862503,1.329509497,5.029292345,3.420511723,0.035591125,4.198760986,4.328674316,23,23,63201,23,24,63201,23,23,63201,819,118055,81453
156728403,0.0430,1.5352,3.1050,19,19,"61,075",19,20,"61,075",19,19,"61,075",110,"39,700","76,178",0.01,2.12,4.32,,19333,4.234333436,0.396812445,873250461,0.295999527,4.946414948,3.520998955,0.033355713,4.198760986,4.334716797,23,23,64857,23,24,64859,23,23,64857,349,118597,87987
156743208,0.3980,4.4928,4.3980,23,23,"61,783",23,24,"66,123",23,23,"61,783",610,"114,172","114,960",0.03,4.20,4.34,,19462.66667,4.156072378,0.396391971,684315720,6.41800046,5.112962008,2.721317053,0.133872986,4.190200806,4.298965454,24,24,55284,24,25,55284,24,24,55284,1823,125347,64752
158623704,0.0340,0.7730,2.5960,17,17,"53,819",17,18,"53,826",17,17,"53,819",96,"18,419","62,270",0.01,2.07,4.29,,21375.66667,3.047308445,0.395811344,573860412,0.984998941,6.949000597,4.769000769,0.035102844,4.198760986,4.338241577,25,25,57949,25,26,66125,25,25,57949,699,160779,122616
158674230,0.0220,0.8185,6.0630,18,18,"26,452",18,19,"66,126",18,18,"26,452",77,"20,916","159,554",0.01,2.08,8.24,,21998,2.659333309,0.392276866,63512847,2.628067732,4.918149471,4.921999931,0.131996155,4.190200806,4.337738037,24,24,58340,24,25,65982,24,24,58340,1378,124515,122042
162308475,0.3460,0.8522,1.9400,18,18,"42,446",18,19,"42,446",18,18,"42,446",389,"23,503","46,272",0.03,2.09,2.24,,21251.33333,3.071667115,0.389997459,213480675,1.550055742,2.652869225,4.939000368,0.129890442,2.172576904,4.338241577,21,21,64085,21,22,66125,21,21,64085,913,62715,109340
163275480,0.6470,3.6010,5.0510,22,22,"56,044",22,23,"66,126",22,22,"56,044",752,"87,916","126,047",0.04,4.19,4.34,,20253.33333,3.642402569,0.38935589,648235170,0.422999859,3.605000019,3.950000048,0.034667969,4.189697266,4.338241577,22,22,65950,22,23,65961,22,22,65950,586,89442,95563
165328470,0.1610,0.8335,,18,18,,18,19,,18,18,,253,"20,013",,0.03,2.08,,,21897.33333,2.661688328,0.385439326,15748623,1.665000916,3.21900034,4.33100009,0.129890442,4.189697266,4.337738037,22,22,63710,22,23,65982,22,22,63710,935,77804,110487
167403285,1.7226,5.8257,3.8600,24,24,"66,030",24,25,"66,122",24,24,"66,030","1,055","148,488","100,485",0.13,4.20,4.34,,21904,2.645837069,0.383966885,716435028,1.352026701,4.934181929,4.640999079,0.130508423,4.190200806,4.337738037,24,24,60712,24,25,65982,24,24,60712,1091,117772,117731
168745032,28.4165,6.5150,1.7950,26,26,"40,588",26,27,"40,588",26,26,"40,588","3,728","161,707","44,111",0.52,4.19,2.23,,22018.33333,2.553666671,0.380754745,635217048,0.797067165,2.982999563,4.204998255,0.035102844,4.189697266,4.337738037,22,22,65648,22,23,65982,22,22,65648,731,74100,101669
170524386,0.0250,1.1140,4.0480,18,18,"66,410",18,19,"66,476",18,18,"66,410",133,"20,377","97,151",0.01,2.08,4.34,,21076,3.090476672,0.379892489,67532418,0.741000414,2.89699769,4.299513102,0.034667969,4.189193726,4.337234497,22,22,65668,22,23,65724,22,22,65668,613,71984,93061
170683452,1.2485,2.8640,1.0040,22,22,"24,458",22,23,"24,458",22,22,"24,458",770,"72,356","25,469",0.04,4.19,2.15,,13094,7.683665991,0.378250965,617528304,0.316000938,3.403000116,3.941998959,0.033935547,4.171569824,4.338241577,21,21,66013,21,22,66123,21,21,66013,445,78369,100631
173845026,9.9120,6.5119,0.9350,26,26,"22,078",26,27,"22,078",26,26,"22,078","2,292","157,189","22,952",0.13,4.19,2.13,,21549.33333,2.796863953,0.377384904,873142560,0.309000254,5.467429876,3.494999886,0.03427887,4.190200806,4.328674316,24,24,63180,24,25,63195,24,24,63180,561,134174,81396
174328506,0.0200,0.7445,3.0390,17,17,"61,847",17,18,"61,847",17,17,"61,847",73,"19,055","78,012",0.01,2.07,4.32,,20480.66667,3.400834163,0.375817415,287513640,14.41899991,6.827999353,1.803998709,0.137672424,4.190200806,2.226959229,26,26,39230,26,27,39230,26,26,39230,2767,157934,42352
176043582,4.8160,6.3197,1.1950,25,25,"27,725",25,26,"27,725",25,25,"27,725","1,465","156,791","29,074",0.13,4.20,2.17,,20956,3.12134258,0.375183578,435716082,0.794591427,3.113000154,4.483000278,0.129341125,4.189697266,4.337738037,22,22,64604,22,23,65982,22,22,64604,863,75363,107182
176820435,0.8608,4.1656,4.4660,23,23,"64,147",23,24,"66,125",23,23,"64,147",755,"99,928","109,216",0.04,4.20,4.34,,21881,2.577170293,0.373915677,416853720,1.430999756,5.551503181,3.219999552,0.129341125,4.190200806,4.322631836,24,24,61394,24,25,61394,24,24,61394,864,134193,76988
178362045,0.0930,1.1640,3.1790,18,18,"60,728",18,19,"60,728",18,18,"60,728",183,"23,477","75,294",0.01,2.08,4.32,,21959.33333,2.523082495,0.372826406,217508346,1.718000174,4.136025667,3.510001898,0.129890442,4.197753906,4.327667236,22,22,62824,22,23,62824,22,22,62824,958,98764,80514
178405236,5.0632,5.5802,2.8640,24,24,"58,112",24,25,"58,112",24,24,"58,112","1,703","133,691","69,891",0.13,4.20,4.31,,21774,2.629337867,0.372740026,703521684,0.488998175,3.267001152,3.975511551,0.03427887,4.171569824,4.338241577,21,21,65601,21,22,66123,21,21,65601,569,78453,103381
180264573,1.6010,5.3772,2.4055,24,24,"50,104",24,25,"50,105",24,24,"50,104",893,"129,261","56,477",0.13,4.19,4.28,,20797.66667,3.17433389,0.37047497,32586174,0.390025616,3.28322196,3.895999908,0.034667969,4.189697266,4.337738037,22,22,65834,22,23,65982,22,22,65834,633,77617,99414
182463750,0.2748,2.3580,1.6305,20,20,"37,512",20,21,"37,512",20,20,"37,512",412,"54,765","40,224",0.03,2.14,2.22,,21899.33333,2.537837267,0.370388762,386154072,0.142000675,3.590013027,4.155999899,0.033355713,4.189697266,4.337738037,22,22,65278,22,23,65982,22,22,65278,346,87908,103801
183764502,,1.6249,0.6990,,19,"17,563",,20,"17,563",,19,"17,563",,"38,132","18,136",,2.12,2.11,,21768.66667,2.589321613,0.367453887,603257814,0.215001106,4.981000662,4.326999903,0.033630371,4.198760986,4.338241577,23,23,62347,23,24,66123,23,23,62347,388,123118,113787
185264037,0.1130,0.8374,0.8660,18,18,"19,992",18,19,"19,992",18,18,"19,992",205,"23,707","20,701",0.01,2.08,2.12,,21141.33333,2.939804316,0.366035407,317846052,0.434000015,3.315999508,3.863512278,0.033935547,4.189697266,4.336730957,22,22,65654,22,23,65724,22,22,65654,445,85012,92371
185602734,1.0010,1.9550,1.9550,20,20,"44,756",20,21,"44,756",20,20,"44,756",675,"49,774","49,173",0.04,2.15,2.25,,21087.66667,2.926724037,0.360631736,56318427,0.182000875,3.514964104,4.070999861,0.033630371,4.189697266,4.337738037,22,22,65262,22,23,65982,22,22,65262,423,82775,103863
186347205,31.6950,6.7935,1.9317,27,27,"39,131",27,28,"39,131",27,27,"39,131","4,087","171,356","42,242",0.52,8.07,2.23,,18978.33333,4.127008677,0.358539846,38147625,1.9739995,3.384414196,3.46099925,0.129890442,4.189697266,4.329681396,22,22,63380,22,23,63380,22,22,63380,965,81381,81833
186453720,1.7090,4.9215,2.1070,24,24,"47,382",24,25,"47,382",24,24,"47,382",889,"117,481","52,674",0.13,4.19,2.27,,19339,3.888374805,0.354800299,634570821,0.8489995,4.518211842,3.412960768,0.034667969,4.198760986,4.328674316,23,23,63217,23,24,63217,23,23,63217,652,111880,81486
186472053,0.0950,3.1952,1.0672,22,22,"24,586",22,23,"24,586",22,22,"24,586",195,"79,952","25,610",0.01,4.19,2.15,,21266.66667,2.7589914,0.352728677,765214803,3.144999027,6.199513197,3.036513805,0.131210327,4.198760986,4.305511475,25,25,56885,25,26,56891,25,25,56885,1291,144398,67678
187234650,5.2136,5.7490,,24,24,,24,25,,24,24,,"1,750","136,892",,0.13,4.19,,,21171.33333,2.811666568,0.3524412,201835476,2.233392954,4.519731045,4.912000418,0.131210327,4.198760986,4.338241577,23,23,57971,23,24,66123,23,23,57971,1287,107999,122536
201345876,5.6600,4.4055,1.2770,23,23,"30,395",23,24,"30,395",23,23,"30,395","1,707","103,642","31,923",0.13,4.20,2.18,,19024,4.03133297,0.350036662,27865134,0.181000471,3.908973932,4.186999798,0.033111572,4.189697266,4.337738037,22,22,63756,22,23,65982,22,22,63756,301,89757,110301
201486573,6.5338,6.2746,4.7340,25,25,"63,253",25,26,"66,123",25,25,"63,253","2,104","153,637","111,740",0.13,4.20,4.34,,20609.66667,3.096280893,0.347591687,547328160,0.501000166,3.218999147,4.715000391,0.034667969,4.189697266,4.338241577,22,22,63470,22,23,66126,22,22,63470,642,77643,111066
201835476,2.2334,4.5197,4.9120,23,23,"57,971",23,24,"66,123",23,23,"57,971","1,287","107,999","122,536",0.13,4.20,4.34,,21932,2.329406977,0.347134276,18264573,2.012999535,5.384999037,4.696000338,0.131210327,4.190200806,4.337738037,24,24,57024,24,25,65982,24,24,57024,1244,131368,124307
203675481,0.4970,2.9852,1.7412,21,21,"39,905",21,22,"39,905",21,21,"39,905",454,"72,053","43,122",0.03,4.17,2.23,,17406.66667,4.932812452,0.346121713,156743208,0.398001909,4.492841005,4.397999763,0.034667969,4.198760986,4.338241577,23,23,61783,23,24,66123,23,23,61783,610,114172,114960
204518367,0.1000,0.5680,0.6840,17,17,"16,835",17,18,"16,835",17,17,"16,835",193,"14,238","17,376",0.01,2.06,2.10,,21635,2.475666205,0.344049824,418602375,1.006999731,2.333221436,3.647999763,0.035102844,2.149414063,4.337234497,20,20,65756,20,21,65756,20,20,65756,712,57259,93326
206147583,2.6921,6.5553,5.1415,25,25,"59,521",25,26,"66,123",25,25,"59,521","1,603","160,029","119,648",0.13,4.20,4.34,,20460.66667,3.127220313,0.340838818,437186025,5.33851099,6.988927841,2.470998526,0.133872986,4.190200806,4.286376953,26,26,52168,26,27,52168,26,26,52168,1749,163489,60178
206473185,0.1530,3.0239,0.1260,21,21,"3,273",21,22,"3,273",21,21,"3,273",249,"73,802","3,360",0.03,4.17,0.52,,21346,2.603333155,0.339251094,752048613,0.891999245,2.755999327,3.779000044,0.034667969,4.171066284,4.335220337,21,21,64863,21,22,64894,21,21,64863,641,71302,88095
