,Column Labels,,,,,,,,,,,,,,,,,,,21494.66667,40.00290958,4.937382115,,,,,RAM,RAM,RAM,Path Cost,Path Cost,Path Cost,Max Depth,Max Depth,Max Depth,Search Depth,Search Depth,Search Depth,Expanded Nodes,Expanded Nodes,Expanded Nodes
,Run Time,,,Path Cost,,,Max Depth,,,Search Depth,,,Expanded Nodes,,,RAM,,,,8103.666667,47.13163519,4.863846145,Starting Grid,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS
Row Labels,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,,14853.33333,32.03324485,3.489631066,45812763,109.0007615,7.530999899,3.476967335,0.536712646,8.075897217,4.333206177,28,28,64428,28,29,64438,28,28,64428,8873,179427,85402
27865134,0.1810,3.9090,4.1870,22,22,"63,756",22,23,"65,982",22,22,"63,756",301,"89,757","110,301",0.03,4.19,4.34,,21876,10.71266476,1.371499433,637402581,23.95147395,6.776432514,3.728512764,0.516059875,8.088485718,4.332702637,26,26,64224,26,27,64224,26,26,64224,3630,169125,85092
28137645,0.0100,0.1550,3.3750,14,14,"63,336",14,15,"63,336",14,14,"63,336",45,"3,548","81,733",0.00,0.52,4.33,,18170.66667,12.62791149,1.344123733,76538412,24.76750994,7.356999636,4.855000734,0.516059875,8.076400757,4.337738037,28,28,58416,28,29,65982,28,28,58416,3681,177761,121903
32478156,0.0270,0.5410,1.5950,16,16,"35,026",16,17,"35,026",16,16,"35,026",80,"9,107","37,382",0.01,0.54,2.21,,21959.66667,10.27394215,1.32360662,785213640,21.6560204,6.58597374,3.896000147,0.141059875,8.075897217,4.336730957,26,26,65576,26,27,65576,26,26,65576,3314,166549,91958
32576481,0.7800,3.8695,6.1260,22,22,"31,388",22,23,"65,982",22,22,"31,388",620,"93,636","155,109",0.03,4.19,8.24,,20119,11.11178303,1.296075198,153406827,27.72402048,7.038000822,3.121713161,0.518074036,8.088485718,4.295440674,26,26,54460,26,27,54460,26,26,54460,3838,170444,63320
32586174,0.3900,3.2832,3.8960,22,22,"65,834",22,23,"65,982",22,22,"65,834",633,"77,617","99,414",0.03,4.19,4.34,,18158,12.19342399,1.289930767,865120473,18.62034202,7.4784832,4.723001242,0.520339966,8.071868896,4.338241577,27,27,65825,27,28,66125,27,27,65825,4518,175897,102143
32684175,0.0070,0.3480,2.0550,14,14,"43,252",14,15,"43,252",14,14,"43,252",36,"2,988","47,610",0.00,0.14,2.25,,18712,11.32572365,1.222713489,845376102,21.10731077,7.336037397,4.892000914,0.520339966,8.073379517,4.338241577,27,27,60303,27,28,66123,27,27,60303,4370,172730,118227
32761458,3.8420,3.0740,1.4709,22,22,"27,656",22,23,"27,656",22,22,"27,656","1,389","75,916","28,996",0.13,4.19,2.17,,16263.33333,11.92647068,1.123057355,246801735,27.41499925,6.55648303,2.608789682,0.516059875,8.088485718,4.295440674,26,26,54422,26,27,54426,26,26,54422,3723,165334,63214
32856471,3.7190,5.5154,0.3870,24,24,"9,924",24,25,"9,924",24,24,"9,924","1,434","138,436","10,203",0.13,4.19,0.56,,18615.66667,10.36353954,1.097867844,510827634,22.41564822,6.686523914,4.874998808,0.518074036,8.075897217,4.338745117,26,26,56084,26,27,66488,26,26,56084,3769,165569,126173
35241768,3.0920,3.6870,5.1770,22,22,"52,386",22,23,"65,982",22,22,"52,386","1,295","82,322","131,866",0.13,4.19,4.34,,13061.66667,13.47339821,1.086157589,723648150,27.03199959,6.554412365,2.193000078,0.516059875,4.190200806,4.271774292,26,26,48738,26,27,48738,26,26,48738,3669,163175,54566
36174582,1.5698,5.5192,3.8052,24,24,"65,270",24,25,"65,278",24,24,"65,270",960,"125,495","88,736",0.13,4.19,4.34,,21160.33333,8.723212639,1.076800314,871650423,17.72839808,8.080708504,5.281512022,0.518074036,8.071868896,4.338241577,27,27,55793,27,28,66125,27,27,55793,4079,175349,126422
